GetCapsUrl,Title,Category
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_TCOON.F.C__IKE_VIMS_3D_NOWAVE.nc,TCOON Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_TCOON.F.C__IKE_VIMS_3D_WITHWAVE.nc,TCOON Ike Vims 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_UNDKennedy.Ike2D.elev.61.nc,UNDKennedy Ike 2D Elev,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_UNDKennedy__IKE_VIMS_2D_WITHWAVE.nc,UNDKennedy Ike Vims 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_UNDKennedy__IKE_VIMS_3D_NOWAVE.nc,UNDKennedy Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_UNDKennedy__IKE_VIMS_3D_WITHWAVE.nc,UNDKennedy Ike Vims 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE.F.C.P.Ike2D.elev.61.nc,USACE Ike 2D Elev,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE.F.C__IKE_VIMS_2D_WITHWAVE.nc,USACE Ike Vims 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE.F.C__IKE_VIMS_3D_NOWAVE.nc,USACE Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE.F.C__IKE_VIMS_3D_WITHWAVE.nc,USACE Ike Vims 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE-CHL.Ike2D.elev.61.nc,USACE-CHL Ike 2D Elev,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE-CHL__IKE_VIMS_2D_WITHWAVE.nc,USACE-CHL Ike Vims 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE-CHL__IKE_VIMS_3D_NOWAVE.nc,USACE-CHL Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USACE-CHL__IKE_VIMS_3D_WITHWAVE.nc,USACE-CHL Ike Vims 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USFFVCOM.IKE2DWITHWAVE.F.C.P.nc,USFFVCOM Ike 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USFFVCOM.IKE3DNOWAVE.F.C.P.nc,USFFVCOM Ike 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USFFVCOM.IKE3DWITHWAVE.F.C.P.nc,USFFVCOM Ike 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-DEPL.F.C.P.Ike2D.elev.61.nc,USGS-DEPL Ike 2D Elev,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-DEPL.F.C__IKE_VIMS_2D_WITHWAVE.nc,USGS-DEPL Ike Vims 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-DEPL.F.C__IKE_VIMS_3D_NOWAVE.nc,USGS-DEPL Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-DEPL.F.C__IKE_VIMS_3D_WITHWAVE.nc,USGS-DEPL Ike Vims 3D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-PERM.F.C.P.Ike2D.elev.61.nc,USGS-PERM Ike 2D Elev,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-PERM.F.C__IKE_VIMS_2D_WITHWAVE.nc,USGS-PERM Ike Vims 2D Withwave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-PERM.F.C__IKE_VIMS_3D_NOWAVE.nc,USGS-PERM Ike Vims 3D Nowave,Simulation
http://testbedapps-dev.sura.org/thredds/sos/imeds/simulation/watlev_USGS-PERM.F.C__IKE_VIMS_3D_WITHWAVE.nc,USGS-PERM Ike Vims 3D Withwave,Simulation
